"doc_id","sentences","env","soc","gov","action","specificity","cti","CVR","Year","Revenue","Industry","Class","Corporate_structure","Region","Employees","env_soc_ratio"
"doc_2069",29,0.172413793103448,0.655172413793103,0.448275862068966,0,0,NA,35242147,2020,"343453672","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Midtjylland",294,0.708333333333333
"doc_2070",4,0,0.75,0.25,NA,NA,NA,33971400,2020,"NULL","Knowledge Services","Small (A-B)","Limited Liability Companies","Region Sjælland",NA,0.571428571428571
"doc_2071",34,0.235294117647059,0.205882352941176,0.235294117647059,0.375,0,1,35247955,2023,"779045000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Hovedstaden",946,1.02439024390244
"doc_2072",9,0.444444444444444,0.555555555555556,0.777777777777778,0,0,NA,65125218,2021,"NULL","Manufacturing","Large (C+)","Limited Liability Companies","Region Hovedstaden",NA,0.928571428571428
"doc_2073",3,0,0,0,NA,NA,NA,39034913,2021,"NULL","Finance and Insurance","Small (A-B)","Partnerships","Region Hovedstaden",0,1
"doc_2074",15,0.2,0.533333333333333,0.533333333333333,0.666666666666667,0,1,38326791,2023,"2217842000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Hovedstaden",183,0.782608695652174
"doc_2075",11,0.363636363636364,0.636363636363636,0.545454545454545,0.5,0,1,14246975,2022,"779699000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Syddanmark",421,0.833333333333333
"doc_2076",21,0.238095238095238,0.80952380952381,0.523809523809524,0,0,NA,63411914,2019,"516045000","Manufacturing","Large (C+)","Limited Liability Companies","Region Sjælland",NA,0.684210526315789
"doc_2077",12,0.0833333333333333,0.666666666666667,0.583333333333333,0,0,NA,17858092,2021,"2351353000","Trade","Large (C+)","Limited Liability Companies","Region Hovedstaden",210,0.65
"doc_2078",7,0.285714285714286,0.571428571428571,0.428571428571429,0.5,0,1,28706472,2019,"377349534","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Hovedstaden",655,0.818181818181818
"doc_2079",36,0.333333333333333,0.166666666666667,0.194444444444444,0.416666666666667,0,1,13238006,2021,"241533000","Manufacturing","Large (C+)","Limited Liability Companies","Region Midtjylland",333,1.14285714285714
"doc_208",33,0.242424242424242,0.636363636363636,0.212121212121212,0,0.125,NA,66022218,2022,"400208000","Trade","Large (C+)","Limited Liability Companies","Region Midtjylland",104,0.759259259259259
"doc_2080",10,0.6,0.7,0.6,0,0,NA,31488605,2018,"NULL","Real Estate","Large (C+)","Partnerships","Region Hovedstaden",NA,0.941176470588235
"doc_2081",11,0.181818181818182,0.909090909090909,0.0909090909090909,0.5,0,1,85551612,2022,"613820000","Manufacturing","Large (C+)","Limited Liability Companies","Region Syddanmark",213,0.619047619047619
"doc_2082",6,0.166666666666667,0.666666666666667,0.833333333333333,0,0,NA,38538071,2022,"933730403","Knowledge Services","Large (C+)","Partnerships","Region Hovedstaden",404,0.7
"doc_2083",5,0.4,0.8,0.2,1,0,1,35476105,2023,"NULL","Information and Communication","Small (A-B)","Limited Liability Companies","Region Sjælland",1,0.777777777777778
"doc_2084",25,0.16,0.24,0.56,0,0,NA,19272796,2018,"4276499000","Trade","Unknown","Limited Liability Companies","Region Nordjylland",NA,0.935483870967742
"doc_2085",19,0.473684210526316,0.263157894736842,0.0526315789473684,0.555555555555556,0.222222222222222,0.8,56548319,2020,"883865000","Manufacturing","Large (C+)","Limited Liability Companies","Region Hovedstaden",215,1.16666666666667
"doc_2086",14,0.214285714285714,0.571428571428571,0.357142857142857,0.333333333333333,0,1,40152660,2020,"512876000","Finance and Insurance","Small (A-B)","Limited Liability Companies","Region Hovedstaden",322,0.772727272727273
